transaction_id,customer_id,product_id,category,revenue,quantity,date,region,channel
T00000,C0052,P027,Food,36.25,4,2025-10-09 06:07:25.128395,North,Mobile
T00001,C0093,P049,Sports,238.32,3,2025-10-09 12:07:25.128395,West,Retail
T00002,C0015,P013,Food,175.3,5,2025-10-09 18:07:25.128395,North,Online
T00003,C0072,P033,Clothing,24.12,1,2025-10-10 00:07:25.128395,North,Retail
T00004,C0061,P034,Books,133.45,3,2025-10-10 06:07:25.128395,North,Retail
T00005,C0021,P041,Electronics,78.38,4,2025-10-10 12:07:25.128395,West,Online
T00006,C0083,P035,Books,76.88,2,2025-10-10 18:07:25.128395,East,Mobile
T00007,C0087,P001,Sports,49.68,1,2025-10-11 00:07:25.128395,North,Retail
T00008,C0075,P021,Electronics,65.64,2,2025-10-11 06:07:25.128395,North,Retail
T00009,C0075,P048,Sports,50.49,3,2025-10-11 12:07:25.128395,West,Mobile
T00010,C0088,P006,Clothing,72.08,5,2025-10-11 18:07:25.128395,East,Mobile
T00011,C0100,P028,Electronics,89.1,5,2025-10-12 00:07:25.128395,North,Online
T00012,C0024,P017,Sports,99.74,4,2025-10-12 06:07:25.128395,South,Mobile
T00013,C0003,P005,Clothing,70.83,5,2025-10-12 12:07:25.128395,West,Mobile
T00014,C0022,P031,Books,112.24,1,2025-10-12 18:07:25.128395,North,Mobile
T00015,C0053,P005,Clothing,22.18,5,2025-10-13 00:07:25.128395,North,Online
T00016,C0002,P038,Food,29.06,4,2025-10-13 06:07:25.128395,South,Mobile
T00017,C0088,P003,Clothing,146.62,3,2025-10-13 12:07:25.128395,South,Mobile
T00018,C0030,P023,Clothing,41.15,3,2025-10-13 18:07:25.128395,West,Online
T00019,C0038,P037,Food,11.85,5,2025-10-14 00:07:25.128395,West,Mobile
T00020,C0002,P037,Sports,23.36,2,2025-10-14 06:07:25.128395,South,Mobile
T00021,C0064,P010,Sports,30.25,3,2025-10-14 12:07:25.128395,West,Online
T00022,C0060,P010,Clothing,262.33,5,2025-10-14 18:07:25.128395,South,Retail
T00023,C0021,P019,Food,78.09,4,2025-10-15 00:07:25.128395,North,Online
T00024,C0033,P017,Food,225.92,5,2025-10-15 06:07:25.128395,South,Mobile
T00025,C0076,P021,Books,78.48,3,2025-10-15 12:07:25.128395,South,Mobile
T00026,C0058,P014,Sports,62.21,4,2025-10-15 18:07:25.128395,East,Mobile
T00027,C0022,P009,Electronics,40.12,5,2025-10-16 00:07:25.128395,South,Online
T00028,C0089,P046,Sports,84.59,1,2025-10-16 06:07:25.128395,South,Mobile
T00029,C0049,P001,Sports,21.99,4,2025-10-16 12:07:25.128395,East,Mobile
T00030,C0091,P045,Books,192.83,1,2025-10-16 18:07:25.128395,West,Online
T00031,C0059,P013,Electronics,151.44,2,2025-10-17 00:07:25.128395,East,Retail
T00032,C0042,P004,Books,40.56,4,2025-10-17 06:07:25.128395,North,Retail
T00033,C0092,P001,Electronics,254.26,1,2025-10-17 12:07:25.128395,East,Mobile
T00034,C0060,P049,Clothing,149.53,3,2025-10-17 18:07:25.128395,North,Online
T00035,C0080,P040,Electronics,97.8,3,2025-10-18 00:07:25.128395,West,Mobile
T00036,C0015,P032,Books,20.39,2,2025-10-18 06:07:25.128395,East,Online
T00037,C0062,P034,Sports,62.04,4,2025-10-18 12:07:25.128395,East,Online
T00038,C0062,P028,Electronics,66.44,4,2025-10-18 18:07:25.128395,West,Retail
T00039,C0047,P031,Electronics,31.17,4,2025-10-19 00:07:25.128395,North,Retail
T00040,C0062,P008,Food,16.67,2,2025-10-19 06:07:25.128395,East,Online
T00041,C0051,P039,Sports,129.95,4,2025-10-19 12:07:25.128395,North,Mobile
T00042,C0055,P026,Clothing,20.41,3,2025-10-19 18:07:25.128395,East,Retail
T00043,C0064,P034,Books,82.17,1,2025-10-20 00:07:25.128395,South,Mobile
T00044,C0003,P003,Clothing,230.47,3,2025-10-20 06:07:25.128395,East,Retail
T00045,C0051,P050,Sports,177.07,3,2025-10-20 12:07:25.128395,West,Retail
T00046,C0007,P012,Electronics,36.03,1,2025-10-20 18:07:25.128395,West,Mobile
T00047,C0021,P001,Electronics,162.55,3,2025-10-21 00:07:25.128395,North,Retail
T00048,C0073,P044,Sports,10.03,2,2025-10-21 06:07:25.128395,East,Retail
T00049,C0039,P005,Electronics,11.43,1,2025-10-21 12:07:25.128395,North,Mobile
T00050,C0018,P030,Electronics,83.82,3,2025-10-21 18:07:25.128395,North,Retail
T00051,C0004,P030,Electronics,46.31,5,2025-10-22 00:07:25.128395,South,Retail
T00052,C0089,P017,Books,49.08,3,2025-10-22 06:07:25.128395,South,Retail
T00053,C0060,P048,Books,76.49,2,2025-10-22 12:07:25.128395,West,Mobile
T00054,C0014,P047,Food,27.03,4,2025-10-22 18:07:25.128395,North,Online
T00055,C0009,P023,Clothing,29.04,3,2025-10-23 00:07:25.128395,West,Mobile
T00056,C0090,P015,Sports,63.03,4,2025-10-23 06:07:25.128395,East,Online
T00057,C0053,P037,Sports,122.28,5,2025-10-23 12:07:25.128395,North,Retail
T00058,C0002,P021,Sports,87.3,3,2025-10-23 18:07:25.128395,North,Online
T00059,C0084,P014,Food,38.23,1,2025-10-24 00:07:25.128395,East,Mobile
T00060,C0092,P002,Books,55.02,4,2025-10-24 06:07:25.128395,East,Mobile
T00061,C0060,P011,Food,24.97,5,2025-10-24 12:07:25.128395,West,Retail
T00062,C0071,P039,Sports,16.2,1,2025-10-24 18:07:25.128395,West,Online
T00063,C0044,P038,Clothing,132.12,1,2025-10-25 00:07:25.128395,East,Retail
T00064,C0008,P034,Electronics,34.67,1,2025-10-25 06:07:25.128395,West,Retail
T00065,C0047,P038,Books,25.66,1,2025-10-25 12:07:25.128395,East,Mobile
T00066,C0035,P050,Books,104.11,3,2025-10-25 18:07:25.128395,North,Online
T00067,C0078,P034,Food,87.0,3,2025-10-26 00:07:25.128395,North,Online
T00068,C0081,P018,Books,90.23,3,2025-10-26 06:07:25.128395,South,Online
T00069,C0036,P030,Sports,30.79,5,2025-10-26 12:07:25.128395,North,Online
T00070,C0050,P015,Sports,31.18,5,2025-10-26 18:07:25.128395,East,Retail
T00071,C0004,P027,Food,29.96,5,2025-10-27 00:07:25.128395,West,Retail
T00072,C0002,P034,Sports,25.27,2,2025-10-27 06:07:25.128395,South,Mobile
T00073,C0006,P038,Clothing,95.3,5,2025-10-27 12:07:25.128395,West,Retail
T00074,C0054,P033,Food,160.72,3,2025-10-27 18:07:25.128395,East,Retail
T00075,C0004,P024,Clothing,113.08,3,2025-10-28 00:07:25.128395,North,Mobile
T00076,C0054,P015,Electronics,135.65,2,2025-10-28 06:07:25.128395,South,Mobile
T00077,C0093,P030,Clothing,51.51,2,2025-10-28 12:07:25.128395,East,Mobile
T00078,C0063,P042,Electronics,94.92,5,2025-10-28 18:07:25.128395,South,Retail
T00079,C0018,P017,Electronics,44.99,4,2025-10-29 00:07:25.128395,South,Retail
T00080,C0090,P005,Clothing,69.64,2,2025-10-29 06:07:25.128395,North,Mobile
T00081,C0044,P029,Food,62.57,1,2025-10-29 12:07:25.128395,East,Mobile
T00082,C0034,P004,Sports,25.57,3,2025-10-29 18:07:25.128395,West,Mobile
T00083,C0074,P010,Sports,49.16,1,2025-10-30 00:07:25.128395,South,Retail
T00084,C0062,P017,Electronics,275.54,3,2025-10-30 06:07:25.128395,South,Retail
T00085,C0100,P010,Electronics,32.86,3,2025-10-30 12:07:25.128395,West,Online
T00086,C0014,P017,Food,21.49,2,2025-10-30 18:07:25.128395,East,Retail
T00087,C0095,P020,Books,53.38,2,2025-10-31 00:07:25.128395,South,Retail
T00088,C0048,P024,Clothing,134.98,1,2025-10-31 06:07:25.128395,South,Retail
T00089,C0015,P005,Electronics,79.81,3,2025-10-31 12:07:25.128395,South,Mobile
